0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:31 +0700] "GET /luceneweb/ HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:31 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:31 +0700] "GET /luceneweb/ HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:31 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:33 +0700] "GET /luceneweb/ HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:33 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:33 +0700] "GET /luceneweb/ HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:33 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:33 +0700] "GET /luceneweb/ HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:33 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:37 +0700] "GET /luceneweb/ HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:37 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:14 +0700] "GET /luceneweb/ HTTP/1.1" 200 3877
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:14 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:14 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:14 +0700] "GET /luceneweb/ HTTP/1.1" 200 3877
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:14 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:25 +0700] "GET /luceneweb/ HTTP/1.1" 200 3877
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:25 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:36 +0700] "GET /luceneweb/ HTTP/1.1" 200 3857
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:36 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:42 +0700] "GET /luceneweb/ HTTP/1.1" 200 3858
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:42 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:44 +0700] "GET /luceneweb/ HTTP/1.1" 200 3858
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:44 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:48 +0700] "GET /luceneweb/ HTTP/1.1" 200 3877
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:48 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:46:48 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:47:29 +0700] "GET /luceneweb/ HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:47:29 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:47:29 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:48:20 +0700] "GET /luceneweb/ HTTP/1.1" 200 4154
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:48:20 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:48:22 +0700] "GET /luceneweb/ HTTP/1.1" 200 4154
